,time,price,change,volume,amount,type
0,15:00:20,33.68,--,29,97672,买盘
1,14:57:38,33.68,--,0,0,买盘
2,14:56:41,33.68,--,2,6736,买盘
3,14:55:08,33.68,--,4,13472,买盘
4,14:54:53,33.68,--,5,16840,买盘
5,14:54:26,33.68,--,1,3368,买盘
6,14:54:11,33.68,--,2,6736,买盘
7,14:53:50,33.68,--,10,33680,买盘
8,14:52:02,33.68,--,9,30312,买盘
9,14:51:41,33.68,--,1,3368,买盘
10,14:50:02,33.68,--,1,3368,买盘
11,14:48:59,33.68,--,1,3368,买盘
12,14:46:59,33.68,--,10,33680,买盘
13,14:44:35,33.68,--,1,3368,买盘
14,14:43:17,33.68,--,13,43784,买盘
15,14:41:25,33.68,--,1,3368,买盘
16,14:41:16,33.68,--,3,10104,买盘
17,14:37:31,33.68,--,1,3368,买盘
18,14:36:04,33.68,--,10,33680,买盘
19,14:35:55,33.68,--,1,3368,买盘
20,14:32:19,33.68,--,1,3368,买盘
21,14:31:43,33.68,--,1,3368,买盘
22,14:30:04,33.68,--,2,6736,买盘
23,14:28:25,33.68,--,4,13472,买盘
24,14:27:40,33.68,--,3,10104,买盘
25,14:26:49,33.68,--,1,3368,买盘
26,14:26:28,33.68,--,1,3368,买盘
27,14:26:04,33.68,--,3,10104,买盘
28,14:25:31,33.68,--,1,3368,买盘
29,14:24:34,33.68,--,2,6736,买盘
30,14:23:52,33.68,--,2,6736,买盘
31,14:22:25,33.68,--,5,16840,买盘
32,14:10:06,33.68,--,80,269440,买盘
33,14:07:48,33.68,--,3,10104,买盘
34,14:06:06,33.68,--,4,13472,买盘
35,14:04:57,33.68,--,2,6736,买盘
36,13:59:56,33.68,--,2,6736,买盘
37,13:59:26,33.68,--,2,6736,买盘
38,13:57:44,33.68,--,1,3368,买盘
39,13:56:26,33.68,--,10,33680,买盘
40,13:54:23,33.68,--,2,6736,买盘
41,13:54:17,33.68,--,3,10104,买盘
42,13:51:29,33.68,--,10,33680,买盘
43,13:50:08,33.68,--,5,16840,买盘
