date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-11-25,57.0,65.3,49.63,49.5,578264.19,-5.8,-10.45,44.384,39.897,38.45,342202.09,194801.84,146771.37,14.24
2016-11-18,42.7,55.5,55.5,41.86,587817.81,12.91,30.31,41.754,38.674,37.838,241034.89,144886.65,125276.31,14.48
2016-11-11,36.97,44.79,42.59,36.97,425800.5,5.49,14.8,37.726,36.87,36.842,131631.6,96489.37,103135.99,10.49
2016-11-04,37.51,37.78,37.1,37.06,33098.19,0.0,0.0,36.19,36.401,36.476,53549.06,67611.18,87495.21,0.82
2016-10-28,36.48,37.45,37.1,35.8,86029.74,0.62,1.7,35.832,36.421,36.451,54584.08,76074.73,89657.1,2.12
2016-10-21,35.49,36.87,36.48,35.2,72428.2,1.12,3.17,35.41,36.289,36.445,47401.58,73055.87,94695.91,1.78
2016-10-14,35.1,35.9,35.36,35.04,40801.37,0.45,1.29,35.594,36.176,36.216,48738.41,71046.03,95293.65,1.0
2016-09-30,35.45,35.45,34.91,34.17,35387.78,-0.4,-1.13,36.014,36.223,36.106,61347.14,74978.93,99231.27,0.87
2016-09-23,35.2,36.05,35.31,35.12,38273.32,0.32,0.92,36.612,36.42,36.059,81673.31,78851.22,105782.85,0.94
2016-09-14,36.65,36.71,34.99,34.7,50117.25,-2.41,-6.44,37.01,36.713,36.094,97565.39,88418.91,111779.69,1.23
2016-09-09,37.52,38.6,37.4,36.73,79112.34,-0.06,-0.16,37.168,37.002,36.169,98710.15,98740.9,114391.15,1.95
2016-09-02,37.51,39.0,37.46,37.2,103845.03,-0.44,-1.16,36.758,37.002,36.149,93353.65,105665.98,117832.78,2.56
2016-08-26,37.35,39.6,37.9,36.03,137018.61,0.6,1.61,36.432,36.813,36.216,88610.71,109782.62,131085.39,3.37
2016-08-19,35.78,39.0,37.3,35.35,117733.7,1.52,4.25,36.228,36.551,36.398,76029.12,107379.24,140079.56,2.9
2016-08-12,35.02,36.82,35.78,34.88,55841.07,0.43,1.22,36.416,36.48,36.351,79272.44,103239.46,147887.71,1.38
2016-08-05,35.46,35.94,35.35,34.5,52329.82,-0.48,-1.34,36.836,36.6,36.092,98771.66,116335.96,154225.9,1.29
2016-07-29,36.61,37.76,35.83,34.8,80130.34,-1.05,-2.85,37.246,36.256,35.854,117978.3,119541.27,160373.97,1.97
2016-07-22,37.99,38.5,36.88,36.84,74110.68,-1.36,-3.56,37.194,35.988,35.435,130954.52,123483.61,168502.95,1.83
2016-07-15,38.07,39.68,38.24,37.11,133950.3,0.36,0.95,36.874,35.698,34.917,138729.35,132714.49,172989.24,3.3
2016-07-08,37.3,39.97,37.88,37.11,153337.14,0.48,1.28,36.544,35.474,34.511,127206.48,135140.47,181722.58,3.78
2016-07-01,35.01,39.0,37.4,35.01,148363.06,1.83,5.14,36.364,35.336,34.088,133900.27,130041.4,180780.23,3.65
2016-06-24,35.2,37.51,35.57,34.32,145011.44,0.29,0.82,35.266,35.296,33.634,121104.23,129999.59,180049.45,3.57
2016-06-17,35.88,36.38,35.28,33.0,112984.8,-1.31,-3.58,34.782,35.618,33.205,116012.7,152388.17,179587.38,2.78
2016-06-08,37.28,37.48,36.59,36.3,76335.94,-0.39,-1.05,34.522,36.245,32.892,126699.63,172779.89,182919.8,1.88
2016-06-03,31.56,38.2,36.98,31.21,186806.09,5.07,15.89,34.404,36.222,32.461,143074.46,192535.96,186828.06,4.6
2016-05-27,33.2,33.76,31.91,31.0,84382.89,-1.24,-3.74,34.308,35.583,32.483,126182.53,192115.83,179709.76,2.08
2016-05-20,33.5,35.63,33.15,32.18,119553.8,-0.83,-2.44,35.326,35.451,32.967,138894.94,201206.67,184705.99,2.94
2016-05-13,35.78,35.78,33.98,30.24,166419.45,-2.02,-5.61,36.454,34.882,33.51,188763.63,213522.28,201845.93,4.1
2016-05-06,36.61,40.28,36.0,35.53,158210.06,-0.5,-1.37,37.968,34.136,34.12,218860.15,213263.99,202393.45,3.9
2016-04-29,36.99,37.76,36.5,35.03,102346.45,-0.5,-1.35,38.04,33.548,34.243,241997.46,228304.68,212939.16,2.52
2016-04-22,38.03,39.35,37.0,34.56,147944.94,-1.79,-4.62,36.858,32.84,33.962,258049.13,231519.06,210364.89,3.64
2016-04-15,41.64,45.71,38.79,37.38,368897.25,-2.76,-6.64,35.576,31.971,33.614,263518.4,230099.32,207233.78,9.09
2016-04-08,36.36,43.0,41.55,35.7,316902.06,5.19,14.27,33.31,30.791,33.279,238280.93,206786.59,193633.78,7.81
2016-04-01,30.76,37.38,36.36,29.42,273896.59,5.77,18.86,30.304,29.538,32.771,207667.82,193059.71,183306.7,6.75
2016-03-25,31.01,32.0,30.59,29.51,182604.81,0.0,0.0,29.056,28.7,32.526,214611.91,181120.16,174845.93,4.5
2016-03-18,27.96,30.75,30.59,27.85,175291.27,3.13,11.4,28.822,29.383,32.505,204988.99,167303.7,169734.52,4.32
2016-03-11,26.8,32.1,27.46,26.8,242709.91,0.94,3.54,28.366,30.482,32.54,196680.24,168205.31,166757.03,5.98
2016-03-04,30.0,30.01,26.52,25.81,163836.53,-3.6,-11.95,28.272,32.137,32.636,175292.25,190169.58,159280.59,4.04
2016-02-26,29.95,34.85,30.12,29.2,308617.03,0.7,2.38,28.772,34.103,32.692,178451.6,191522.92,152740.07,7.6
2016-02-19,27.55,30.12,29.42,26.98,134490.2,1.11,3.92,28.344,34.937,32.496,147628.41,197573.65,139215.9,3.31
2016-02-05,27.0,28.99,28.31,26.5,133747.53,1.32,4.89,29.944,35.083,32.288,129618.4,189210.72,136300.11,3.29
2016-01-29,29.23,29.83,26.99,24.53,135769.95,-2.03,-7.0,32.598,35.257,32.158,139730.37,184368.24,134814.78,3.34
2016-01-22,27.55,30.99,29.02,27.01,179633.28,1.04,3.72,36.002,35.766,32.206,205046.91,180480.98,133279.7,4.42
2016-01-15,33.68,33.68,27.98,27.98,154501.09,-9.44,-25.23,39.434,36.004,32.047,204594.24,173553.7,128367.29,3.81
2016-01-04,41.6,41.95,37.42,37.42,44440.17,-4.16,-10.01,41.53,36.351,32.28,247518.88,168571.7,127889.18,1.09
2015-12-31,44.0,44.42,41.58,41.58,184307.38,-2.43,-5.52,40.222,35.627,32.397,248803.03,172165.35,136305.97,4.54
2015-12-25,50.8,55.88,44.01,43.55,462352.62,-2.17,-4.7,37.916,34.598,32.453,229006.11,165308.75,134685.84,11.39
2015-12-18,37.65,46.18,46.18,37.46,177369.92,7.72,20.07,35.53,33.134,32.257,155915.04,128391.6,126300.11,4.37
2015-12-11,30.79,40.8,38.46,30.66,369124.31,7.58,24.55,32.574,31.281,31.809,142513.16,113957.23,125975.29,9.09
2015-12-04,30.15,31.36,30.88,28.72,50860.94,0.83,2.76,31.172,30.055,31.681,89624.52,80858.15,115249.27,1.25
2015-11-27,32.08,32.41,30.05,29.7,85322.77,-2.03,-6.33,31.032,29.492,32.014,95527.67,83389.51,121906.1,2.1
2015-11-20,31.09,33.96,32.08,30.82,96897.27,0.68,2.17,31.28,29.059,32.266,101611.38,85261.33,128612.04,2.39
2015-11-13,31.1,33.49,31.4,30.8,110360.52,-0.05,-0.16,30.738,28.645,32.32,100868.15,86078.42,133985.36,2.72
2015-11-06,29.88,32.85,31.45,29.0,104681.11,1.27,4.21,29.988,28.09,32.68,85401.3,83180.88,136433.14,2.58
2015-10-30,31.87,31.87,30.18,29.31,80376.66,-1.11,-3.55,28.938,28.209,33.127,72091.78,87206.67,140165.14,1.98
2015-10-23,29.22,31.99,31.29,28.12,115741.36,1.92,6.54,27.952,29.166,34.068,71251.35,100446.58,146794.07,2.85
2015-10-16,27.64,29.45,29.37,27.63,93181.09,1.72,6.22,26.838,30.307,34.805,68911.27,104062.93,155465.99,2.3
2015-10-09,26.55,28.24,27.65,26.33,33026.28,1.45,5.53,26.552,31.38,35.137,71288.69,124208.62,164161.99,0.81
2015-09-30,25.48,27.14,26.2,25.01,38133.5,0.95,3.76,26.192,32.337,35.515,80960.46,137993.34,177409.97,0.94
2015-09-25,25.4,27.23,25.25,25.0,76174.52,-0.47,-1.83,27.48,33.307,35.81,102321.55,149640.38,189825.86,1.88
2015-09-18,28.2,28.35,25.72,23.0,104040.96,-2.22,-7.95,30.38,34.536,36.112,129641.81,160422.69,193548.64,2.56
2015-09-11,26.99,30.19,27.94,26.41,105068.18,2.09,8.09,33.776,35.473,36.395,139214.59,171962.76,198943.32,2.59
2015-09-02,32.59,32.59,25.85,24.55,81385.13,-6.79,-20.8,36.208,35.995,36.596,177128.55,181892.3,205132.09,2.0
2015-08-28,37.5,38.03,32.64,27.02,144938.98,-7.11,-17.89,38.482,37.269,36.941,195026.23,189685.39,216592.07,3.57
2015-08-21,43.0,45.0,39.75,36.3,212775.8,-2.95,-6.91,39.134,38.045,37.008,196959.21,193123.62,220143.6,5.24
2015-08-14,40.2,43.02,42.7,39.15,151904.84,2.6,6.48,38.692,38.97,36.63,191203.57,193141.56,221990.16,3.74
2015-08-07,37.6,44.17,40.1,35.4,294638.0,2.88,7.74,37.17,39.303,35.97,204710.92,206869.04,225255.23,7.26
2015-07-31,35.0,37.22,37.22,29.41,170873.53,1.32,3.68,35.782,38.893,35.441,186656.04,204115.37,226065.29,4.21
2015-07-24,37.7,38.7,35.9,35.5,154603.88,-1.64,-4.37,36.056,38.692,34.951,184344.56,216826.6,228855.43,3.81
2015-07-17,35.78,40.45,37.54,31.03,183997.62,2.45,6.98,36.956,38.312,34.494,189288.02,230011.34,240456.42,4.53
2015-07-10,36.45,36.47,35.09,24.17,219441.59,1.93,5.82,39.248,37.688,33.818,195079.54,226674.59,235029.37,5.4
2015-07-03,39.81,40.48,33.16,32.39,204363.58,-5.43,-14.07,41.436,37.316,33.249,209027.16,225923.89,225736.89,5.03
2015-06-26,40.4,44.0,38.59,37.9,159316.12,-1.81,-4.48,42.004,37.197,32.757,221574.7,228371.89,217938.9,3.92
2015-06-19,48.87,49.0,40.4,39.95,179321.2,-8.6,-17.55,41.328,36.613,31.97,249308.64,243498.75,214948.92,4.42
2015-06-12,45.17,51.0,49.0,42.6,212955.23,2.97,6.45,39.668,35.97,31.132,270734.66,247163.59,210538.34,5.25
2015-06-05,36.4,46.99,46.03,36.4,289179.69,10.03,27.86,36.128,34.29,29.858,258269.63,250838.76,206508.08,7.12
2015-05-29,35.17,39.0,36.0,33.86,267101.25,0.79,2.24,33.196,32.637,28.706,242820.62,243641.41,194595.51,6.58
2015-05-22,31.51,36.7,35.21,31.51,297985.81,3.11,9.69,32.39,31.988,28.045,235169.08,248015.2,185830.18,7.34
2015-05-15,31.36,34.48,32.1,31.36,286451.31,0.8,2.56,31.898,31.21,27.406,237688.87,240884.27,172333.48,7.06
2015-05-08,31.7,31.88,31.3,29.78,150630.11,-0.07,-0.22,32.272,30.676,26.947,223592.52,250901.49,162603.45,3.71
2015-04-30,34.18,34.69,31.37,31.3,211934.61,-0.6,-1.88,32.452,29.947,26.546,243407.88,243384.15,163920.89,5.22
2015-04-24,32.11,33.16,31.97,30.56,228843.55,-0.78,-2.38,32.078,29.181,26.218,244462.21,225549.89,163787.62,5.64
2015-04-17,34.0,35.87,32.75,31.55,310584.75,-1.22,-3.59,31.586,28.316,25.786,260861.33,207505.91,161335.97,7.65
2015-04-10,32.0,33.97,33.97,30.03,215969.56,1.77,5.5,30.522,27.327,25.31,244079.68,186399.1,151425.95,5.32
2015-04-03,29.6,32.88,32.2,28.9,249706.95,2.7,9.15,29.08,26.294,24.768,278210.47,173913.1,143466.26,6.15
