date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-11-25,37.51,65.3,49.63,36.97,1624980.5,12.6,33.96,39.078,36.414,34.592,590778.5,668477.92,713900.43,40.02
2016-10-28,35.1,37.45,37.1,35.04,199259.31,2.19,6.27,36.728,34.15,33.569,389209.05,557414.32,694070.54,4.91
2016-09-30,37.71,38.68,34.91,34.17,240397.8,-3.01,-7.94,35.958,34.598,32.914,461850.98,660409.3,696956.03,5.92
2016-08-31,35.46,39.6,37.92,34.5,429261.12,2.09,5.83,36.276,34.086,32.351,623226.32,677576.32,703245.26,10.57
2016-07-29,37.73,39.97,35.83,34.8,459993.78,-2.05,-5.41,35.494,33.312,31.577,716151.81,666882.74,716878.14,11.33
2016-06-30,33.28,39.0,37.88,33.0,617133.25,4.63,13.93,33.75,32.349,30.947,746177.34,658726.36,712041.65,15.2
2016-05-31,36.61,40.28,33.25,30.24,562468.94,-3.25,-8.9,31.572,31.526,30.223,725619.59,680076.03,704105.51,13.85
2016-04-29,33.7,45.71,36.5,33.7,1047274.5,2.49,7.32,33.238,31.923,29.731,858967.63,707749.12,700117.08,25.79
2016-03-31,27.15,34.01,34.01,25.81,893888.56,6.9,25.45,31.896,32.144,28.999,731926.31,696506.94,669725.12,22.02
2016-02-29,27.0,34.85,27.11,26.5,610121.44,0.12,0.45,31.13,32.343,28.452,617613.68,707334.92,654743.61,15.03
2016-01-29,41.6,41.95,26.99,24.53,514344.53,-14.59,-35.09,30.948,32.769,28.119,571275.38,759322.95,634693.42,12.67
2015-12-31,29.8,55.88,41.58,29.61,1229209.12,11.79,39.58,31.48,32.987,27.769,634532.46,830726.76,616614.99,30.28
2015-11-30,29.88,33.96,29.79,28.72,412067.91,-0.39,-1.29,30.608,31.23,26.754,556530.62,733502.75,564529.34,10.15
2015-10-30,26.55,31.99,30.18,26.33,322325.38,3.98,15.19,32.392,30.615,26.357,661087.56,728914.21,554514.09,7.94
