date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-10-13 15:00:00,2208.77,2208.83,2208.41,2206.56,715400.0,-0.36,-0.02,2210.59,2208.49,2207.5,574342.0,478615.0,548560.0
2016-10-13 14:30:00,2212.37,2212.37,2208.93,2208.1,498500.0,-3.44,-0.16,2210.19,2207.88,2207.58,514262.0,449180.0,531703.0
2016-10-13 14:15:00,2212.68,2216.04,2212.49,2212.28,532905.0,-0.19,-0.01,2209.86,2207.08,2207.53,487833.0,469399.0,522088.0
2016-10-13 14:00:00,2210.26,2215.29,2212.81,2210.26,635063.0,2.55,0.12,2208.66,2206.62,2207.27,447062.0,480719.0,513687.0
2016-10-13 13:45:00,2206.31,2210.3,2210.3,2205.41,489841.0,3.99,0.18,2207.7,2206.13,2206.89,399455.0,491753.0,501883.0
2016-10-13 13:30:00,2206.99,2208.02,2206.42,2206.24,415002.0,-0.57,-0.03,2206.39,2206.38,2206.83,382889.0,553399.0,498419.0
2016-10-13 13:15:00,2206.49,2208.63,2207.28,2206.49,366353.0,0.79,0.04,2205.56,2206.58,2206.88,384098.0,563316.0,505783.0
2016-10-13 11:30:00,2208.13,2208.56,2206.48,2206.11,329050.0,-1.65,-0.07,2204.3,2206.38,2207.1,450965.0,576012.0,526366.0
2016-10-13 11:15:00,2203.81,2208.05,2208.04,2203.64,397027.0,4.23,0.19,2204.58,2206.09,2207.52,514375.0,611780.0,550299.0
2016-10-13 11:00:00,2202.2,2204.01,2203.73,2200.99,407013.0,1.53,0.07,2204.56,2205.89,2207.43,584051.0,618977.0,578605.0
2016-10-13 10:45:00,2200.98,2203.83,2202.29,2200.9,421047.0,1.31,0.06,2206.36,2206.52,2207.74,723909.0,618504.0,630205.0
2016-10-13 10:30:00,2207.76,2207.76,2200.97,2200.59,700690.0,-6.79,-0.31,2207.59,2207.29,2208.13,742534.0,614225.0,642460.0
2016-10-13 10:15:00,2207.98,2209.27,2207.86,2206.95,646100.0,-0.12,-0.01,2208.46,2207.98,2208.55,701059.0,574777.0,635960.0
2016-10-13 10:00:00,2212.76,2212.96,2207.95,2207.87,745406.0,-4.81,-0.22,2207.59,2207.92,2208.38,709184.0,546654.0,624202.0
2016-10-13 09:45:00,2211.75,2215.53,2212.74,2208.64,1106300.0,0.99,0.04,2207.23,2207.65,2208.27,653902.0,512013.0,608750.0
2016-10-12 14:45:00,2205.42,2208.84,2208.45,2205.41,514175.0,3.03,0.14,2206.68,2207.28,2207.79,513100.0,443439.0,574486.0
2016-10-12 14:30:00,2203.54,2205.41,2205.29,2200.61,493312.0,1.75,0.08,2206.98,2207.18,2207.58,485916.0,448250.0,572747.0
2016-10-12 14:15:00,2206.03,2206.13,2203.54,2200.33,686728.0,-2.49,-0.11,2207.5,2207.82,2207.45,448495.0,476719.0,573562.0
2016-10-12 14:00:00,2209.99,2210.6,2206.11,2205.38,468998.0,-3.88,-0.18,2208.24,2208.95,2207.59,384125.0,488817.0,557701.0
2016-10-12 13:45:00,2210.02,2212.33,2210.0,2210.0,402286.0,-0.02,0.0,2208.06,2208.97,2207.65,370125.0,538232.0,551815.0
2016-10-12 13:30:00,2207.87,2210.42,2209.96,2207.87,378256.0,2.09,0.09,2207.88,2208.96,2207.59,373778.0,641907.0,551069.0
2016-10-12 13:15:00,2207.51,2208.09,2207.87,2207.29,306207.0,0.36,0.02,2207.37,2208.97,2207.33,410584.0,670695.0,554306.0
2016-10-12 11:30:00,2205.4,2207.37,2207.28,2205.33,364877.0,1.88,0.09,2208.14,2209.12,2207.13,504944.0,697144.0,565422.0
2016-10-12 11:15:00,2208.94,2209.3,2205.21,2205.21,399000.0,-3.73,-0.17,2209.65,2208.83,2207.02,593510.0,701750.0,573260.0
2016-10-12 11:00:00,2207.42,2209.98,2209.07,2207.39,420552.0,1.65,0.07,2209.87,2208.9,2206.91,706339.0,705486.0,585296.0
2016-10-12 10:45:00,2211.71,2212.1,2207.42,2206.93,562285.0,-4.29,-0.19,2210.03,2208.31,2206.57,910035.0,705533.0,608129.0
2016-10-12 10:30:00,2214.86,2216.52,2211.71,2211.24,778005.0,-3.15,-0.14,2210.57,2207.99,2206.57,930806.0,697244.0,633552.0
2016-10-12 10:15:00,2206.42,2214.94,2214.86,2206.42,807707.0,8.44,0.38,2210.11,2207.07,2206.35,889343.0,670405.0,631114.0
2016-10-12 10:00:00,2210.24,2210.43,2206.31,2206.09,963148.0,-3.93,-0.18,2208.01,2206.22,2205.89,809990.0,626584.0,621289.0
2016-10-12 09:45:00,2202.36,2209.95,2209.86,2198.89,1439030.0,7.5,0.34,2207.92,2206.34,2205.84,704632.0,565398.0,601298.0
2016-10-11 15:00:00,2209.42,2210.18,2210.11,2208.84,666142.0,0.69,0.03,2206.59,2206.22,2205.47,501031.0,460232.0,552978.0
2016-10-11 14:45:00,2204.19,2209.54,2209.42,2204.17,570690.0,5.23,0.24,2205.41,2205.7,2205.13,463681.0,437917.0,541935.0
2016-10-11 14:30:00,2205.92,2206.05,2204.35,2203.96,410939.0,-1.57,-0.07,2204.04,2205.14,2204.9,451466.0,433701.0,537771.0
2016-10-11 14:15:00,2203.06,2206.99,2205.88,2202.73,436361.0,2.82,0.13,2204.44,2205.2,2204.9,443179.0,444770.0,546838.0
2016-10-11 14:00:00,2204.18,2204.8,2203.2,2203.02,421022.0,-0.98,-0.04,2204.75,2204.92,2204.75,426163.0,465105.0,557176.0
2016-10-11 13:45:00,2202.64,2204.21,2204.18,2201.62,479394.0,1.54,0.07,2205.86,2204.84,2204.84,419433.0,510726.0,574679.0
2016-10-11 13:30:00,2206.63,2207.57,2202.57,2202.57,509615.0,-4.06,-0.18,2205.99,2205.15,2204.52,412153.0,569860.0,591498.0
2016-10-11 13:15:00,2207.33,2207.47,2206.35,2206.04,369502.0,-0.98,-0.04,2206.24,2205.62,2203.55,415935.0,591824.0,597103.0
2016-10-11 11:30:00,2208.75,2209.15,2207.44,2207.08,351283.0,-1.31,-0.06,2205.97,2205.56,2202.0,446360.0,615994.0,607151.0
2016-10-11 11:15:00,2204.81,2208.83,2208.74,2204.75,387373.0,3.93,0.18,2205.09,2205.35,2200.54,504047.0,637198.0,627316.0
2016-10-11 11:00:00,2203.99,2206.03,2204.83,2203.6,442991.0,0.84,0.04,2203.82,2204.71,2198.67,602019.0,645723.0,642711.0
2016-10-11 10:45:00,2205.0,2205.64,2203.82,2202.77,528526.0,-1.18,-0.05,2204.32,2204.56,2196.65,727566.0,645952.0,681005.0
2016-10-11 10:30:00,2202.83,2205.54,2205.02,2201.8,521628.0,2.19,0.1,2205.01,2204.67,2193.96,767713.0,641842.0,683011.0
2016-10-11 10:15:00,2202.47,2205.73,2203.06,2202.37,639718.0,0.59,0.03,2205.15,2204.6,2191.09,785629.0,648907.0,681490.0
2016-10-11 10:00:00,2207.36,2207.52,2202.37,2201.31,877230.0,-4.99,-0.23,2205.61,2204.59,2188.51,770348.0,649247.0,664227.0
2016-10-11 09:45:00,2207.43,2207.94,2207.32,2202.14,1070730.0,-0.11,0.0,2205.59,2204.84,2186.04,689427.0,638632.0,638262.0
2016-10-10 15:00:00,2205.44,2208.01,2207.29,2205.34,729258.0,1.85,0.08,2204.8,2203.89,2183.12,564339.0,613136.0,596498.0
2016-10-10 14:45:00,2205.74,2205.74,2205.69,2202.45,611207.0,-0.05,0.0,2204.32,2201.48,2180.18,515972.0,602382.0,572698.0
2016-10-10 14:30:00,2202.22,2206.61,2205.4,2202.11,563315.0,3.18,0.14,2204.06,2198.44,2177.3,512185.0,598308.0,553385.0
2016-10-10 14:15:00,2203.44,2203.85,2202.26,2202.21,472626.0,-1.18,-0.05,2203.56,2195.72,2174.34,528146.0,617434.0,536756.0
2016-10-10 14:00:00,2204.87,2205.41,2203.38,2203.26,445287.0,-1.49,-0.07,2204.09,2192.64,2171.44,587838.0,639700.0,528327.0
2016-10-10 13:45:00,2204.38,2204.87,2204.87,2202.97,487423.0,0.49,0.02,2202.98,2188.74,2168.54,661934.0,716057.0,519971.0
2016-10-10 13:30:00,2203.14,2205.38,2204.38,2202.31,592272.0,1.24,0.06,2198.65,2183.25,2165.63,688793.0,724180.0,508943.0
2016-10-10 13:15:00,2205.16,2207.74,2202.93,2202.84,643121.0,-2.23,-0.1,2192.82,2177.57,2162.86,684432.0,714074.0,495680.0
2016-10-10 11:30:00,2197.81,2205.08,2204.89,2197.31,771085.0,7.08,0.32,2187.88,2172.44,2160.35,706721.0,679207.0,479818.0
2016-10-10 11:15:00,2190.35,2198.19,2197.84,2189.83,815768.0,7.49,0.34,2181.19,2167.23,2157.69,691562.0,637891.0,461031.0
2016-10-10 10:45:00,2175.06,2183.37,2183.2,2174.96,621720.0,8.14,0.37,2174.49,2162.34,2155.46,770181.0,579860.0,441110.0
2016-10-10 10:30:00,2178.28,2178.4,2175.22,2174.97,570466.0,-3.06,-0.14,2167.86,2158.88,2153.75,759567.0,543013.0,437156.0
2016-10-10 10:15:00,2171.5,2178.76,2178.24,2170.86,754568.0,6.74,0.31,2162.32,2156.16,2152.31,743715.0,508462.0,441140.0
2016-10-10 10:00:00,2163.89,2171.48,2171.46,2163.57,695290.0,7.57,0.35,2157.0,2152.96,2150.79,651692.0,456079.0,428466.0
2016-10-10 09:45:00,2165.85,2172.51,2164.35,2164.14,1208860.0,-1.5,-0.07,2153.27,2150.25,2149.73,584220.0,416955.0,409778.0
2016-09-30 15:00:00,2147.48,2150.01,2150.01,2147.44,568653.0,2.53,0.12,2150.19,2148.35,2148.99,389539.0,323884.0,365419.0
2016-09-30 14:45:00,2151.75,2152.43,2147.55,2147.24,491205.0,-4.2,-0.2,2149.9,2148.01,2148.86,326458.0,293706.0,350160.0
2016-09-30 14:30:00,2152.86,2152.94,2151.62,2151.13,294453.0,-1.24,-0.06,2149.99,2148.15,2148.94,273209.0,277286.0,339119.0
2016-09-30 14:15:00,2148.63,2154.1,2152.81,2148.45,357925.0,4.18,0.19,2148.91,2148.25,2148.9,260466.0,280429.0,334849.0
2016-09-30 14:00:00,2148.56,2148.98,2148.98,2147.8,235459.0,0.42,0.02,2147.23,2148.15,2148.88,249691.0,284172.0,332028.0
2016-09-30 13:45:00,2148.15,2150.14,2148.52,2148.15,253248.0,0.37,0.02,2146.51,2148.57,2149.09,258230.0,302360.0,338555.0
2016-09-30 13:30:00,2146.34,2148.64,2148.02,2146.28,224959.0,1.68,0.08,2146.13,2148.63,2149.36,260955.0,331299.0,346116.0
2016-09-30 13:15:00,2144.69,2146.36,2146.23,2144.69,230740.0,1.54,0.07,2146.31,2148.46,2149.48,281362.0,373818.0,355212.0
2016-09-30 11:30:00,2145.36,2145.61,2144.38,2143.55,304047.0,-0.98,-0.05,2147.59,2148.62,2149.78,300392.0,400854.0,365646.0
2016-09-30 11:15:00,2146.75,2148.27,2145.38,2145.34,278154.0,-1.37,-0.06,2149.08,2149.22,2149.85,318653.0,402601.0,370958.0
2016-09-30 11:00:00,2148.92,2149.06,2146.65,2146.39,266874.0,-2.27,-0.11,2150.63,2149.63,2149.88,346490.0,406954.0,382908.0
2016-09-30 10:45:00,2152.64,2153.14,2148.92,2148.58,326996.0,-3.72,-0.17,2151.13,2149.7,2149.66,401643.0,406613.0,397456.0
2016-09-30 10:30:00,2152.06,2154.26,2152.64,2152.04,325888.0,0.58,0.03,2150.6,2149.73,2149.17,466274.0,400953.0,407533.0
2016-09-30 10:15:00,2153.12,2153.16,2151.81,2150.23,395355.0,-1.31,-0.06,2149.65,2149.55,2148.33,501316.0,389270.0,416982.0
2016-09-30 10:00:00,2149.18,2153.5,2153.15,2148.78,417337.0,3.97,0.18,2149.36,2149.61,2147.78,486548.0,379884.0,417726.0
2016-09-30 09:45:00,2144.47,2151.35,2149.12,2143.62,542641.0,4.65,0.22,2148.63,2149.61,2146.97,467418.0,374750.0,414075.0
2016-09-29 15:00:00,2147.92,2147.92,2146.28,2145.84,650149.0,-1.64,-0.08,2148.28,2150.1,2146.44,411582.0,360932.0,403254.0
2016-09-29 14:45:00,2150.4,2152.67,2147.88,2147.78,501096.0,-2.52,-0.12,2148.86,2150.5,2146.02,335632.0,336607.0,383957.0
2016-09-29 14:30:00,2149.36,2150.79,2150.37,2148.44,321515.0,1.01,0.05,2149.46,2150.94,2145.46,277224.0,330439.0,373338.0
2016-09-29 14:15:00,2147.36,2150.01,2149.49,2146.79,321691.0,2.13,0.1,2149.86,2150.47,2144.66,273220.0,339316.0,369747.0
2016-09-29 14:00:00,2149.29,2149.45,2147.36,2147.36,263460.0,-1.93,-0.09,2150.59,2150.14,2143.88,282082.0,358862.0,365592.0
2016-09-29 13:45:00,2148.73,2149.8,2149.21,2147.89,270396.0,0.48,0.02,2151.92,2149.62,2143.27,310282.0,388300.0,367559.0
2016-09-29 13:15:00,2152.27,2152.91,2150.88,2150.88,209058.0,-1.39,-0.06,2152.13,2148.62,2142.54,337582.0,414113.0,371653.0
2016-09-29 11:30:00,2153.2,2154.6,2152.38,2151.89,301496.0,-0.82,-0.04,2152.41,2147.11,2141.93,383653.0,444695.0,378704.0
2016-09-29 11:15:00,2154.35,2155.28,2153.12,2153.12,366001.0,-1.23,-0.06,2151.08,2145.94,2141.22,405412.0,455568.0,381798.0
2016-09-29 11:00:00,2150.19,2154.78,2153.99,2149.76,404458.0,3.8,0.18,2149.68,2144.34,2140.58,435642.0,453399.0,390007.0
2016-09-29 10:45:00,2152.32,2152.51,2150.28,2150.04,406897.0,-2.04,-0.09,2147.33,2142.79,2139.66,466318.0,445577.0,398649.0
2016-09-29 10:30:00,2145.75,2152.59,2152.27,2145.16,439415.0,6.52,0.3,2145.1,2141.54,2138.89,490643.0,431308.0,417363.0
2016-09-29 10:15:00,2146.11,2148.5,2145.75,2145.52,410291.0,-0.36,-0.02,2141.81,2139.98,2138.28,505736.0,416237.0,426934.0
2016-09-29 10:00:00,2142.22,2146.46,2146.11,2141.99,517148.0,3.89,0.18,2140.81,2138.84,2137.7,505723.0,400178.0,440213.0
2016-09-29 09:45:00,2141.34,2144.19,2142.24,2141.04,557840.0,0.9,0.04,2139.0,2137.63,2136.85,471156.0,372322.0,437454.0
2016-09-28 15:00:00,2135.79,2139.46,2139.14,2135.79,528522.0,3.35,0.16,2138.25,2136.93,2135.56,424835.0,346818.0,430566.0
2016-09-28 14:45:00,2140.95,2141.93,2135.81,2135.38,514878.0,-5.14,-0.24,2137.98,2136.47,2134.5,371972.0,329193.0,423609.0
2016-09-28 14:30:00,2137.06,2142.09,2140.73,2136.2,410229.0,3.67,0.17,2138.15,2136.76,2133.58,326739.0,312714.0,410756.0
2016-09-28 14:15:00,2138.7,2138.7,2137.06,2136.7,344313.0,-1.64,-0.08,2136.88,2136.49,2132.65,294633.0,308027.0,401922.0
2016-09-28 14:00:00,2138.0,2141.0,2138.5,2137.64,326235.0,0.5,0.02,2136.26,2136.82,2131.78,273487.0,326614.0,397296.0
2016-09-28 13:45:00,2136.75,2138.63,2137.8,2136.71,264206.0,1.05,0.05,2135.6,2136.52,2130.66,268801.0,351721.0,403327.0
2016-09-28 13:30:00,2134.38,2137.11,2136.68,2134.07,288710.0,2.3,0.11,2134.95,2136.23,2129.91,286414.0,403418.0,403727.0
2016-09-28 13:15:00,2134.2,2135.28,2134.38,2132.78,249702.0,0.18,0.01,2135.36,2136.58,2129.3,298688.0,437632.0,400631.0
2016-09-28 11:30:00,2135.31,2136.93,2133.93,2133.83,238583.0,-1.38,-0.06,2136.1,2136.56,2128.92,321421.0,480248.0,403463.0
2016-09-28 11:15:00,2134.55,2135.55,2135.22,2132.55,302804.0,0.67,0.03,2137.39,2136.08,2128.41,379742.0,502587.0,415727.0
2016-09-28 11:00:00,2138.87,2138.99,2134.55,2133.68,352271.0,-4.32,-0.2,2137.45,2134.19,2128.05,434640.0,514314.0,429993.0
2016-09-28 10:45:00,2137.98,2138.81,2138.72,2136.29,350082.0,0.74,0.03,2137.51,2132.54,2127.98,520423.0,518025.0,445106.0
2016-09-28 10:30:00,2140.47,2140.47,2138.08,2137.89,363367.0,-2.39,-0.11,2137.81,2130.41,2127.34,576575.0,508799.0,470027.0
2016-09-28 10:15:00,2135.5,2141.33,2140.38,2133.42,530185.0,4.88,0.23,2137.02,2128.81,2126.62,639074.0,495818.0,499591.0
2016-09-28 10:00:00,2135.1,2138.06,2135.5,2134.11,577296.0,0.4,0.02,2134.77,2126.74,2126.25,625432.0,467977.0,517894.0
2016-09-28 09:45:00,2143.72,2143.72,2134.85,2133.57,781184.0,-8.87,-0.41,2130.94,2124.79,2126.45,593987.0,454933.0,513804.0
2016-09-27 15:00:00,2134.09,2140.24,2140.24,2133.7,630844.0,6.15,0.29,2127.57,2123.58,2127.16,515627.0,404036.0,494680.0
2016-09-27 14:45:00,2129.35,2137.25,2134.12,2128.02,675861.0,4.77,0.22,2123.01,2122.01,2127.61,441024.0,363631.0,479049.0
2016-09-27 14:30:00,2116.33,2129.2,2129.15,2116.25,461974.0,12.82,0.61,2120.59,2121.29,2128.38,352561.0,326677.0,468662.0
2016-09-27 14:15:00,2118.05,2118.47,2116.33,2112.73,420074.0,-1.72,-0.08,2118.7,2120.74,2129.41,310522.0,328868.0,462391.0
2016-09-27 14:00:00,2117.46,2118.46,2118.01,2114.7,389380.0,0.55,0.03,2118.65,2121.9,2131.17,315878.0,345673.0,452486.0
2016-09-27 13:45:00,2122.21,2122.21,2117.46,2117.35,257829.0,-4.75,-0.22,2119.59,2123.42,2132.99,292445.0,372187.0,442704.0
2016-09-27 13:30:00,2119.68,2123.38,2122.02,2119.5,233548.0,2.34,0.11,2121.0,2124.27,2134.92,286239.0,431255.0,442916.0
2016-09-27 13:15:00,2116.16,2119.96,2119.68,2115.85,251777.0,3.52,0.17,2121.99,2124.44,2136.82,300794.0,503365.0,459534.0
2016-09-27 11:30:00,2122.72,2122.72,2116.09,2115.29,446857.0,-6.63,-0.31,2122.78,2125.76,2138.38,347214.0,567812.0,471323.0
