,opDate,rzye,rzmre,rqyl,rqylje,rqmcl,rzrqjyzl
81,2015-01-28,775933490835,63920072891,773840993,4542722686,1190286348,780476213521
82,2015-01-27,773837742011,75031235777,798720421,4699665607,1220933535,778537407618
83,2015-01-26,771373532853,67111894515,823866912,4885928763,1159453953,776259461616
84,2015-01-23,766038511313,82258662501,794384758,4700104444,1307260513,770738615757
85,2015-01-22,761668956446,75064691111,816099513,4785141949,973298500,766454098395
86,2015-01-21,754595954233,91163378655,817893900,4822496958,1722377359,759418451191
87,2015-01-20,750762421151,76513181618,719397938,4089037320,1507143437,754851458471
88,2015-01-19,752047988453,72756876383,695039440,4006316935,1100466344,756054305388
89,2015-01-16,766660200847,83138464387,836900593,5019945559,1212010371,771680146406
90,2015-01-15,762382827637,71147906275,837376405,5061962503,1305319686,767444790140
91,2015-01-14,749750725573,55908600370,819901731,4832460055,1031836955,754583185628
92,2015-01-13,740893116001,52882711315,853669905,4970840174,1100244336,745863956175
93,2015-01-12,735878164519,68855556662,871073168,5080926118,1075613449,740959090637
94,2015-01-09,726400724109,87327038290,918874498,5383417787,1538413338,731784141896
95,2015-01-08,718485280095,72365046460,943391394,5627589892,982279484,724112869987
96,2015-01-07,715729306750,81243060299,999317750,6161617855,1159975687,721890924605
97,2015-01-06,707391292198,98370829909,972732503,5990342373,1251407226,713381634571
98,2015-01-05,700007355731,102462217665,998243783,6127222126,1448182019,706134577857
