,code,name
294,601188,龙江交通
295,601186,中国铁建
296,601179,中国西电
297,601177,杭齿前进
298,601169,北京银行
299,601168,西部矿业
300,601166,兴业银行
301,601163,三角轮胎
302,601158,重庆水务
303,601155,新城控股
304,601139,深圳燃气
305,601137,博威合金
306,601128,常熟银行
307,601127,小康股份
308,601126,四方股份
309,601118,海南橡胶
310,601117,中国化学
311,601116,三江购物
312,601113,华鼎股份
313,601111,中国国航
314,601107,四川成渝
315,601106,中国一重
316,601101,昊华能源
317,601100,恒立液压
318,601099,太平洋
319,601098,中南传媒
320,601088,中国神华
321,601069,西部黄金
322,601058,赛轮金宇
323,601038,一拖股份
324,601028,玉龙股份
325,601021,春秋航空
326,601020,华钰矿业
327,601018,宁波港
328,601016,节能风电
329,601015,陕西黑猫
330,601012,隆基股份
331,601011,宝泰隆
332,601010,文峰股份
333,601009,南京银行
334,601008,连云港
335,601007,金陵饭店
336,601006,大秦铁路
337,601005,重庆钢铁
338,601003,柳钢股份
339,601002,晋亿实业
340,601001,大同煤业
341,601000,唐山港
342,600999,招商证券
343,600998,九州通
344,600997,开滦股份
345,600995,文山电力
346,600993,马应龙
347,600992,贵绳股份
348,600990,四创电子
349,600988,赤峰黄金
350,600987,航民股份
351,600986,科达股份
352,600985,雷鸣科化
353,600984,建设机械
354,600983,惠而浦
355,600982,宁波热电
356,600981,汇鸿集团
357,600980,北矿科技
358,600979,广安爱众
359,600978,宜华生活
360,600977,中国电影
361,600976,健民集团
362,600975,新五丰
363,600973,宝胜股份
364,600971,恒源煤电
365,600970,中材国际
366,600969,郴电国际
367,600967,北方创业
368,600966,博汇纸业
369,600965,福成股份
370,600963,岳阳林纸
371,600962,国投中鲁
372,600961,株冶集团
373,600960,渤海活塞
374,600959,江苏有线
375,600958,东方证券
376,600936,广西广电
377,600926,杭州银行
378,600919,江苏银行
379,600917,重庆燃气
380,600908,无锡银行
381,600900,长江电力
382,600898,三联商社
383,600897,厦门空港
384,600896,中海海盛
385,600895,张江高科
386,600894,广日股份
387,600893,中航动力
388,600892,大晟文化
389,600891,秋林集团
390,600890,中房股份
391,600889,南京化纤
392,600888,新疆众和
393,600887,伊利股份
394,600886,国投电力
395,600885,宏发股份
396,600884,杉杉股份
397,600883,博闻科技
398,600882,广泽股份
399,600881,亚泰集团
400,600880,博瑞传播
401,600879,航天电子
402,600877,中国嘉陵
403,600876,洛阳玻璃
404,600875,东方电气
405,600874,创业环保
406,600873,梅花生物
407,600872,中炬高新
408,600871,石化油服
409,600870,厦华电子
410,600869,智慧能源
411,600868,梅雁吉祥
412,600867,通化东宝
413,600865,百大集团
414,600864,哈投股份
415,600863,内蒙华电
416,600862,中航高科
417,600861,北京城乡
418,600860,京城股份
419,600859,王府井
420,600858,银座股份
421,600857,宁波中百
422,600856,中天能源
423,600855,航天长峰
424,600854,春兰股份
425,600853,龙建股份
426,600851,海欣股份
427,600850,华东电脑
428,600848,上海临港
429,600847,万里股份
430,600846,同济科技
431,600845,宝信软件
432,600844,丹化科技
433,600843,上工申贝
434,600841,上柴股份
435,600839,四川长虹
436,600838,上海九百
437,600837,海通证券
438,600836,界龙实业
439,600835,上海机电
440,600834,申通地铁
441,600833,第一医药
442,600831,广电网络
443,600830,香溢融通
444,600829,人民同泰
445,600828,茂业商业
446,600827,百联股份
447,600826,兰生股份
448,600825,新华传媒
449,600824,益民集团
450,600823,世茂股份
451,600822,上海物贸
452,600821,津劝业
453,600820,隧道股份
454,600819,耀皮玻璃
455,600818,中路股份
