date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-13 15:00:00,9.07,9.08,9.07,9.06,38735.9,0.0,0.0,9.07,9.088,9.1135,61009.5,70017.2,51566.2,0.03
2016-10-13 14:30:00,9.07,9.08,9.06,9.06,55176.2,-0.01,-0.11,9.07,9.095,9.117,70445.8,68010.0,51007.6,0.04
2016-10-13 14:00:00,9.07,9.08,9.07,9.05,83597.7,0.0,0.0,9.076,9.102,9.1205,76377.1,64267.2,51611.9,0.06
2016-10-13 13:30:00,9.08,9.08,9.07,9.06,40055.5,-0.01,-0.11,9.082,9.109,9.1235,90744.6,59097.1,52249.8,0.03
2016-10-13 11:30:00,9.07,9.08,9.08,9.05,87482.3,0.01,0.11,9.092,9.116,9.126,92071.8,59044.4,55373.6,0.06
2016-10-13 11:00:00,9.09,9.1,9.07,9.06,85917.4,-0.02,-0.22,9.106,9.122,9.128,79024.8,55646.6,54331.3,0.06
2016-10-13 10:30:00,9.11,9.11,9.09,9.09,84832.6,-0.02,-0.22,9.12,9.129,9.1305,65574.2,50776.3,53016.2,0.06
2016-10-13 10:00:00,9.08,9.11,9.1,9.08,155435.0,0.02,0.22,9.128,9.134,9.132,52157.4,46911.2,53274.4,0.11
2016-10-12 14:30:00,9.14,9.15,9.12,9.12,46691.9,-0.02,-0.22,9.136,9.138,9.135,27449.7,33590.1,48667.2,0.03
2016-10-12 14:00:00,9.14,9.15,9.15,9.14,22247.0,0.01,0.11,9.14,9.139,9.135,26016.9,31175.2,50680.1,0.02
2016-10-12 13:30:00,9.13,9.15,9.14,9.13,18664.6,0.01,0.11,9.138,9.139,9.132,32268.5,33115.3,52263.5,0.01
2016-10-12 11:30:00,9.14,9.14,9.13,9.13,17748.2,-0.01,-0.11,9.138,9.139,9.1295,35978.3,34005.2,55600.0,0.01
2016-10-12 11:00:00,9.14,9.16,9.14,9.13,31896.6,0.0,0.0,9.14,9.139,9.1265,41665.0,38956.6,59078.8,0.02
2016-10-12 10:30:00,9.14,9.16,9.14,9.14,39528.2,0.0,0.0,9.14,9.138,9.124,39730.5,45402.5,59489.8,0.03
2016-10-12 10:00:00,9.14,9.15,9.14,9.12,53505.0,0.0,0.0,9.138,9.136,9.1215,36333.5,51702.9,59866.1,0.04
