,time,price,change,volume,amount,type
0,15:00:24,10.76,-0.01,8963,9645091,卖盘
1,14:57:36,10.77,--,0,0,买盘
2,14:57:05,10.77,0.01,14,16111,卖盘
3,14:56:59,10.76,--,41,44159,卖盘
4,14:56:56,10.76,--,260,279760,卖盘
5,14:56:53,10.76,--,50,53800,卖盘
6,14:56:50,10.76,0.01,2609,2808101,买盘
7,14:56:47,10.75,0.01,135,145168,中性盘
8,14:56:44,10.74,-0.01,238,256643,卖盘
9,14:56:41,10.75,--,1807,1942568,买盘
10,14:56:38,10.75,0.01,86,92450,买盘
11,14:56:35,10.74,-0.01,74,79476,卖盘
12,14:56:32,10.75,--,40,43000,买盘
13,14:56:29,10.75,0.01,322,347182,买盘
14,14:56:26,10.74,--,222,238428,卖盘
15,14:56:23,10.74,0.01,372,399785,买盘
16,14:56:17,10.73,-0.01,1656,1777746,卖盘
17,14:56:11,10.74,--,284,306047,卖盘
18,14:56:08,10.74,--,28,30072,卖盘
19,14:56:05,10.74,-0.02,158,169692,卖盘
20,14:56:02,10.76,0.02,2248,2419106,买盘
21,14:55:56,10.74,--,70,75180,卖盘
22,14:55:53,10.74,0.01,102,109548,中性盘
23,14:55:50,10.73,--,2074,2225402,卖盘
24,14:55:47,10.73,--,290,312200,卖盘
25,14:55:44,10.73,--,10,10730,卖盘
26,14:55:41,10.73,--,50,53650,卖盘
27,14:55:38,10.73,--,396,424908,卖盘
28,14:55:32,10.73,--,190,203870,卖盘
29,14:55:29,10.73,0.02,786,843378,买盘
30,14:55:26,10.71,0.01,54,57834,卖盘
31,14:55:23,10.7,-0.02,1450,1551500,卖盘
32,14:55:20,10.72,--,157,168346,卖盘
33,14:55:17,10.72,0.01,1607,1723690,买盘
34,14:55:14,10.71,-0.01,129,139144,卖盘
35,14:55:05,10.72,0.02,2462,2640035,买盘
36,14:55:02,10.7,--,38,40660,卖盘
37,14:54:59,10.7,--,182,195767,卖盘
38,14:54:56,10.7,--,1288,1378160,买盘
39,14:54:53,10.7,--,179,191572,买盘
40,14:54:47,10.7,--,83,88852,买盘
41,14:54:44,10.7,--,189,203214,买盘
42,14:54:41,10.7,--,476,509319,买盘
43,14:54:38,10.7,--,91,97412,买盘
44,14:54:35,10.7,--,687,735132,卖盘
45,14:54:32,10.7,-0.01,354,379807,卖盘
46,14:54:29,10.71,0.01,54,58862,买盘
47,14:54:26,10.7,-0.01,109,116672,卖盘
48,14:54:23,10.71,--,446,477666,买盘
49,14:54:20,10.71,0.01,4,4284,买盘
50,14:54:17,10.7,--,1792,1918467,买盘
51,14:54:14,10.7,0.01,266,284705,买盘
52,14:54:11,10.69,-0.02,72,76968,卖盘
53,14:54:08,10.71,0.01,324,348032,买盘
54,14:54:05,10.7,--,272,291981,买盘
55,14:53:59,10.7,-0.01,1673,1790152,卖盘
56,14:53:56,10.71,--,32,35300,买盘
57,14:53:53,10.71,--,5,5397,买盘
58,14:53:50,10.71,-0.01,627,671731,卖盘
59,14:53:44,10.72,0.01,78,84645,买盘
60,14:53:41,10.71,--,556,595476,卖盘
61,14:53:38,10.71,--,221,236733,卖盘
62,14:53:35,10.71,-0.01,148,159536,卖盘
63,14:53:32,10.72,--,107,114746,买盘
64,14:53:29,10.72,--,526,564901,买盘
65,14:53:26,10.72,--,74,80185,买盘
66,14:53:23,10.72,--,68,72896,买盘
67,14:53:20,10.72,--,35,37562,买盘
68,14:53:17,10.72,--,4,4288,买盘
69,14:53:14,10.72,--,122,130784,卖盘
70,14:53:11,10.72,0.03,20,21440,买盘
71,14:53:08,10.69,-0.01,1060,1134166,卖盘
72,14:53:05,10.7,-0.03,810,866700,卖盘
73,14:53:02,10.73,0.01,117,125583,买盘
74,14:52:59,10.72,--,1420,1522240,卖盘
75,14:52:56,10.72,--,52,55744,卖盘
76,14:52:53,10.72,--,217,232666,买盘
77,14:52:47,10.72,0.02,1793,1922138,买盘
78,14:52:44,10.7,--,244,262107,卖盘
79,14:52:41,10.7,--,19,20372,卖盘
80,14:52:38,10.7,--,76,82347,卖盘
81,14:52:35,10.7,--,119,127372,卖盘
82,14:52:32,10.7,--,369,395814,卖盘
83,14:52:29,10.7,--,269,287872,卖盘
84,14:52:26,10.7,--,29,31072,卖盘
85,14:52:23,10.7,--,329,352158,买盘
86,14:52:20,10.7,--,597,639688,买盘
87,14:52:17,10.7,--,405,433478,买盘
88,14:52:14,10.7,-0.01,411,439812,卖盘
89,14:52:11,10.71,0.01,374,400554,买盘
90,14:52:08,10.7,--,212,226839,买盘
91,14:52:05,10.7,-0.02,875,937234,卖盘
92,14:52:02,10.72,0.02,17,18266,买盘
93,14:51:59,10.7,--,468,500759,买盘
94,14:51:56,10.7,--,14,14979,买盘
95,14:51:53,10.7,--,1138,1217660,卖盘
96,14:51:47,10.7,-0.01,20,21400,卖盘
97,14:51:44,10.71,0.01,6,6426,中性盘
98,14:51:38,10.7,--,334,357380,买盘
99,14:51:35,10.7,--,158,169060,买盘
100,14:51:32,10.7,-0.03,771,825012,卖盘
101,14:51:29,10.73,0.01,196,211338,买盘
102,14:51:26,10.72,0.01,691,740794,买盘
103,14:51:23,10.71,--,1288,1380476,卖盘
104,14:51:20,10.71,-0.01,86,92106,卖盘
105,14:51:14,10.72,0.01,1659,1778490,买盘
106,14:51:11,10.71,0.01,244,262352,买盘
107,14:51:08,10.7,-0.01,121,129512,卖盘
108,14:51:05,10.71,--,278,298766,买盘
109,14:51:02,10.71,-0.01,43,46095,中性盘
110,14:50:59,10.72,0.01,940,1007680,买盘
111,14:50:56,10.71,-0.01,58,62118,卖盘
112,14:50:53,10.72,--,96,103941,买盘
113,14:50:50,10.72,--,10,10720,买盘
114,14:50:47,10.72,-0.01,68,72896,卖盘
115,14:50:44,10.73,--,133,142751,卖盘
116,14:50:41,10.73,0.02,98,105154,买盘
117,14:50:38,10.71,-0.01,3033,3248343,卖盘
118,14:50:35,10.72,-0.02,997,1068784,卖盘
119,14:50:29,10.74,0.01,38,40812,买盘
120,14:50:26,10.73,--,68,72964,买盘
121,14:50:23,10.73,--,15,16095,买盘
122,14:50:20,10.73,-0.01,928,996645,卖盘
123,14:50:17,10.74,--,58,62292,买盘
124,14:50:14,10.74,-0.01,236,253464,卖盘
125,14:50:11,10.75,--,147,158025,买盘
126,14:50:05,10.75,--,1058,1137350,买盘
127,14:50:02,10.75,--,179,192425,买盘
128,14:49:59,10.75,--,870,935250,买盘
129,14:49:53,10.75,--,154,165550,买盘
130,14:49:50,10.75,--,92,98900,买盘
131,14:49:47,10.75,--,45,48375,买盘
132,14:49:44,10.75,--,789,849164,卖盘
133,14:49:38,10.75,--,178,191350,卖盘
134,14:49:29,10.75,-0.02,900,967500,卖盘
135,14:49:29,10.77,--,1053,1134167,买盘
136,14:49:17,10.77,--,25,26925,买盘
137,14:49:14,10.77,-0.01,264,284328,卖盘
138,14:49:11,10.78,--,60,64679,买盘
139,14:49:08,10.78,0.01,7,7546,买盘
140,14:49:05,10.77,-0.01,738,794826,卖盘
141,14:49:02,10.78,--,229,246861,买盘
142,14:48:59,10.78,--,54,58212,买盘
143,14:48:56,10.78,0.01,571,615538,买盘
144,14:48:53,10.77,-0.02,410,441570,卖盘
145,14:48:50,10.79,--,10,10790,买盘
146,14:48:47,10.79,--,105,113294,买盘
147,14:48:44,10.79,--,15,16184,买盘
148,14:48:41,10.79,--,135,145665,买盘
149,14:48:38,10.79,0.01,132,142428,买盘
150,14:48:35,10.78,-0.02,200,215600,卖盘
151,14:48:32,10.8,--,40,43200,买盘
152,14:48:29,10.8,0.02,134,144720,买盘
153,14:48:26,10.78,-0.02,67,72226,卖盘
154,14:48:23,10.8,0.01,166,179280,买盘
155,14:48:20,10.79,--,117,126242,买盘
156,14:48:17,10.79,-0.01,29,31290,中性盘
157,14:48:11,10.8,--,142,153360,买盘
158,14:48:08,10.8,--,38,41040,买盘
159,14:48:05,10.8,--,102,110160,买盘
160,14:48:02,10.8,0.02,27,29160,买盘
161,14:47:59,10.78,--,106,114268,卖盘
162,14:47:56,10.78,-0.02,102,109956,卖盘
163,14:47:50,10.8,--,123,132840,卖盘
164,14:47:47,10.8,0.02,1017,1098360,买盘
165,14:47:44,10.78,--,71,76538,买盘
166,14:47:41,10.78,0.01,31,33418,买盘
167,14:47:38,10.77,--,33,35541,卖盘
168,14:47:35,10.77,-0.01,97,104469,卖盘
169,14:47:32,10.78,--,70,75460,卖盘
170,14:47:29,10.78,--,94,101332,买盘
171,14:47:26,10.78,0.01,5,5390,买盘
172,14:47:23,10.77,--,13,14001,卖盘
173,14:47:20,10.77,-0.01,50,53850,卖盘
174,14:47:17,10.78,0.01,336,362208,买盘
175,14:47:14,10.77,--,123,132471,买盘
176,14:47:11,10.77,-0.01,269,289713,卖盘
177,14:47:08,10.78,0.01,188,202664,买盘
178,14:47:02,10.77,-0.01,172,185244,卖盘
179,14:46:59,10.78,--,5,5390,买盘
180,14:46:56,10.78,0.01,94,101332,买盘
181,14:46:53,10.77,--,41,44157,买盘
182,14:46:50,10.77,--,96,103392,买盘
183,14:46:47,10.77,--,630,678510,买盘
184,14:46:41,10.77,--,37,39849,买盘
185,14:46:38,10.77,--,149,160473,买盘
186,14:46:35,10.77,0.01,994,1070538,买盘
187,14:46:32,10.76,--,169,181844,卖盘
188,14:46:29,10.76,-0.01,58,62408,卖盘
189,14:46:26,10.77,0.01,344,370488,买盘
190,14:46:23,10.76,--,13,13988,卖盘
191,14:46:20,10.76,-0.01,27,29052,卖盘
192,14:46:17,10.77,--,120,129240,买盘
193,14:46:14,10.77,--,122,131394,买盘
194,14:46:11,10.77,--,232,249864,买盘
195,14:46:08,10.77,--,62,66774,买盘
196,14:46:05,10.77,0.01,243,261711,买盘
