,time,price,change,volume,amount,type
0,15:00:20,10.81,-0.01,2618,2830058,卖盘
1,14:57:38,10.82,--,0,0,卖盘
2,14:56:59,10.82,--,494,534594,买盘
3,14:56:56,10.82,0.01,182,196924,买盘
4,14:56:53,10.81,--,42,45402,买盘
5,14:56:50,10.81,-0.01,107,115710,卖盘
6,14:56:47,10.82,0.01,10,10820,买盘
7,14:56:44,10.81,-0.01,60,64860,卖盘
8,14:56:41,10.82,--,115,124473,买盘
9,14:56:35,10.82,0.01,30,32460,买盘
10,14:56:32,10.81,-0.01,1036,1119916,卖盘
11,14:56:29,10.82,0.01,120,129840,买盘
12,14:56:26,10.81,-0.01,136,148053,卖盘
13,14:56:20,10.82,--,2,2164,买盘
14,14:56:17,10.82,--,2,2164,买盘
15,14:56:14,10.82,0.01,21,22765,买盘
16,14:56:08,10.81,-0.01,420,455057,卖盘
17,14:56:05,10.82,--,48,51936,买盘
18,14:56:02,10.82,--,29,31421,买盘
19,14:55:59,10.82,0.01,4,4328,买盘
20,14:55:53,10.81,-0.01,0,1037,卖盘
21,14:55:50,10.82,--,123,133129,买盘
22,14:55:47,10.82,--,106,114692,买盘
23,14:55:44,10.82,--,24,27006,买盘
24,14:55:41,10.82,0.01,8,8656,买盘
25,14:55:38,10.81,--,432,466992,卖盘
26,14:55:35,10.81,--,20,21620,卖盘
27,14:55:32,10.81,-0.01,1,1124,卖盘
28,14:55:29,10.82,0.01,646,700010,买盘
29,14:55:26,10.81,-0.01,15,16258,卖盘
30,14:55:23,10.82,--,10,10820,买盘
31,14:55:14,10.82,0.01,12,12984,买盘
32,14:55:11,10.81,--,52,56212,卖盘
33,14:55:08,10.81,-0.01,38,41078,卖盘
34,14:55:05,10.82,0.01,34,37826,买盘
35,14:54:56,10.81,--,40,43240,卖盘
36,14:54:53,10.81,--,15,16258,卖盘
37,14:54:50,10.81,-0.01,14,15134,卖盘
38,14:54:47,10.82,--,146,157972,买盘
39,14:54:44,10.82,--,2,3202,买盘
