date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-11-24,21.39,24.84,24.84,21.39,568191.06,2.26,10.01,21.878,20.026,18.63,322256.65,234169.14,173743.65,63.13
2016-11-23,22.85,24.48,22.52,21.55,513204.31,0.27,1.21,20.552,19.39,18.208,230456.85,200446.54,146539.64,57.02
2016-11-22,22.88,22.88,22.3,21.78,149546.02,1.5,7.21,19.658,18.923,17.907,156438.04,164725.03,122804.56,16.62
2016-11-21,19.12,20.8,20.8,18.97,126220.1,1.89,9.99,18.926,18.458,17.623,171739.86,162260.46,118253.54,14.02
2016-11-18,18.2,19.49,18.93,18.06,254121.75,0.73,4.01,18.35,18.163,17.405,168308.52,166394.68,113734.41,28.24
2016-11-17,17.82,18.45,18.21,17.6,109192.07,0.17,0.94,18.174,18.009,17.27,146081.63,154706.04,102374.84,12.13
2016-11-16,18.6,18.6,18.05,18.01,143110.25,-0.61,-3.27,18.228,17.888,17.173,170436.22,156377.68,98242.61,15.9
2016-11-15,17.81,19.56,18.64,17.76,226055.11,0.72,4.02,18.188,17.732,17.085,173012.03,147543.53,92648.57,25.12
2016-11-14,17.88,18.05,17.92,17.5,109063.43,-0.11,-0.61,17.99,17.529,16.967,152781.06,130054.44,82849.65,12.12
2016-11-11,18.3,18.51,18.05,18.0,142987.27,-0.42,-2.27,17.976,17.374,16.877,164480.84,122345.14,78642.85,15.89
2016-11-10,17.92,18.84,18.48,17.7,230965.05,0.64,3.59,17.844,17.234,16.794,163330.45,113318.16,72859.99,25.66
2016-11-09,17.5,18.2,17.85,17.31,155989.27,0.2,1.13,17.548,17.026,16.698,142319.13,92632.75,62797.01,17.33
2016-11-08,17.69,18.1,17.65,17.31,124900.29,-0.15,-0.84,17.276,16.891,16.632,122075.03,80884.09,56793.43,13.88
2016-11-07,17.37,18.38,17.85,17.11,167562.3,0.46,2.65,17.068,16.788,16.58,107327.81,74246.62,52575.96,18.62
2016-11-04,16.86,17.68,17.39,16.75,137235.34,0.38,2.23,16.772,16.646,16.512,80209.44,61074.14,47884.24,15.25
2016-11-03,16.45,17.53,17.0,16.37,125908.47,0.51,3.09,16.624,16.531,16.437,63305.87,50043.64,42062.78,13.99
2016-11-02,16.53,16.78,16.49,16.34,54768.75,-0.14,-0.84,16.504,16.458,16.369,42946.37,40107.54,36725.45,6.09
2016-11-01,16.37,16.66,16.61,16.3,51164.18,0.24,1.47,16.506,16.438,16.328,39693.15,37753.61,34927.84,5.68
2016-10-31,16.63,16.63,16.37,16.2,31970.46,-0.26,-1.56,16.508,16.405,16.292,41165.44,35644.86,34088.71,3.55
2016-10-28,16.38,16.65,16.65,16.26,52717.47,0.24,1.46,16.52,16.379,16.265,41938.84,34940.57,36173.1,5.86
2016-10-27,16.5,16.5,16.4,16.33,24111.0,-0.1,-0.61,16.438,16.354,16.275,36781.41,32401.82,35946.45,2.68
2016-10-26,16.5,16.53,16.5,16.28,38502.64,-0.12,-0.72,16.412,16.369,16.296,37268.71,32961.27,36544.45,4.28
2016-10-25,16.45,16.8,16.62,16.35,58525.61,0.18,1.09,16.37,16.373,16.311,35814.08,32702.76,35622.09,6.5
2016-10-24,16.26,16.49,16.43,16.19,35837.49,0.19,1.17,16.302,16.372,16.319,30124.29,30905.3,33706.41,3.98
2016-10-21,16.21,16.31,16.24,16.0,26930.29,-0.02,-0.12,16.238,16.378,16.339,27942.3,34694.35,33187.25,2.99
2016-10-20,16.28,16.34,16.27,16.14,26547.5,-0.03,-0.18,16.27,16.342,16.363,28022.24,34081.92,33012.94,2.95
2016-10-19,16.27,16.48,16.29,16.21,31229.5,0.02,0.12,16.326,16.28,16.398,28653.83,33343.37,33491.03,3.47
2016-10-18,16.14,16.28,16.28,15.95,30076.68,0.18,1.12,16.376,16.217,16.418,29591.45,32102.07,35767.24,3.34
2016-10-17,16.47,16.5,16.11,16.01,24927.51,-0.32,-1.95,16.442,16.178,16.501,31686.3,32532.56,37672.16,2.77
2016-10-14,16.53,16.53,16.4,16.26,27330.01,-0.15,-0.91,16.518,16.151,16.608,41446.4,37405.63,41416.98,3.04
2016-10-13,16.52,16.78,16.55,16.41,29705.46,0.02,0.12,16.414,16.195,16.676,40141.6,39491.08,42544.22,3.3
2016-10-12,16.6,16.6,16.54,16.35,35917.59,-0.06,-0.36,16.234,16.223,16.743,38032.91,40127.62,43849.76,3.99
2016-10-11,16.65,16.69,16.61,16.47,40550.95,0.12,0.73,16.058,16.249,16.808,34612.69,38541.41,44398.42,4.51
2016-10-10,16.5,16.96,16.49,16.45,73727.99,0.71,4.5,15.914,16.265,16.869,33378.82,36507.51,45562.22,8.19
2016-09-30,15.66,15.88,15.88,15.6,20806.0,0.23,1.47,15.784,16.299,16.954,33364.85,31680.16,46246.68,2.31
2016-09-29,15.71,15.79,15.65,15.63,19162.0,-0.01,-0.06,15.976,16.383,17.086,38840.56,31943.96,52203.01,2.13
2016-09-28,15.91,15.91,15.66,15.64,18816.5,-0.22,-1.39,16.212,16.516,17.214,42222.34,33638.69,57465.2,2.09
2016-09-27,15.84,15.98,15.89,15.5,34381.63,0.05,0.32,16.44,16.618,17.32,42470.13,39432.41,60306.62,3.82
2016-09-26,16.8,16.8,15.84,15.8,73658.14,-1.0,-5.94,16.616,16.824,17.431,39636.2,42811.76,67562.9,8.18
2016-09-23,16.89,17.1,16.84,16.74,48184.51,0.0,0.0,16.814,17.064,17.496,29995.46,45428.33,66359.79,5.35
2016-09-22,16.88,17.1,16.83,16.81,36070.92,0.03,0.18,16.79,17.156,17.526,25047.36,45597.37,66076.27,4.01
2016-09-21,16.78,16.88,16.8,16.7,20055.45,0.04,0.24,16.82,17.262,17.548,25055.04,47571.9,65556.6,2.23
2016-09-20,16.74,16.87,16.77,16.7,20212.0,-0.05,-0.3,16.796,17.367,17.568,36394.69,50255.43,66664.73,2.25
2016-09-19,16.7,16.91,16.83,16.65,25454.43,0.1,0.6,17.032,17.473,17.612,45987.32,54616.93,67703.66,2.83
2016-09-14,16.88,16.93,16.72,16.71,23444.01,-0.22,-1.3,17.314,17.609,17.658,60861.2,60813.19,69696.29,2.6
2016-09-13,16.88,17.01,16.98,16.7,36109.3,0.29,1.74,17.522,17.789,17.724,66147.38,72462.07,73099.27,4.01
2016-09-12,17.45,17.55,16.68,16.67,76753.73,-1.26,-7.02,17.704,17.911,17.765,70088.76,81291.71,74816.49,8.53
2016-09-09,18.08,18.28,17.95,17.75,68175.13,-0.29,-1.59,17.938,18.022,17.811,64116.17,81180.84,74834.15,7.58
2016-09-08,17.79,18.51,18.24,17.7,99823.83,0.47,2.65,17.914,18.037,17.78,63246.54,92314.04,73687.62,11.09
2016-09-07,17.89,18.0,17.76,17.63,49874.89,-0.13,-0.73,17.904,17.928,17.73,60765.19,87291.26,71607.78,5.54
2016-09-06,17.9,17.9,17.89,17.41,55816.2,0.03,0.17,18.056,17.896,17.719,78776.75,86555.17,71703.84,6.2
2016-09-05,17.85,18.27,17.85,17.82,46890.81,0.03,0.17,18.118,17.834,17.696,92494.66,83541.3,70900.75,5.21
2016-09-02,18.1,18.16,17.83,17.68,63826.95,-0.37,-2.03,18.106,17.768,17.665,98245.5,83074.02,70350.58,7.09
2016-09-01,18.43,18.71,18.19,18.17,87417.08,-0.35,-1.89,18.16,17.75,17.634,121381.54,80790.4,69496.12,9.71
2016-08-31,18.06,18.64,18.52,17.87,139932.73,0.32,1.76,17.952,17.706,17.596,113817.33,78579.39,67919.06,15.55
2016-08-30,17.62,18.26,18.2,17.62,124405.75,0.41,2.31,17.736,17.658,17.547,94333.58,73736.47,64039.32,13.82
2016-08-29,17.99,18.05,17.79,17.69,75645.0,-0.32,-1.77,17.55,17.618,17.502,74587.93,68341.27,59806.18,8.41
2016-08-26,17.25,18.46,18.1,17.08,179507.16,0.96,5.6,17.43,17.6,17.468,67902.55,68487.47,59429.83,19.95
2016-08-25,17.26,17.37,17.15,16.88,49595.99,-0.29,-1.66,17.34,17.522,17.45,40199.25,55061.2,56393.1,5.51
2016-08-24,17.3,17.56,17.44,17.14,42514.02,0.16,0.93,17.46,17.532,17.445,43341.46,55924.3,57129.77,4.72
2016-08-23,17.17,17.35,17.27,17.13,25677.5,0.08,0.47,17.58,17.542,17.424,53139.36,56852.52,60534.81,2.85
2016-08-22,17.55,17.64,17.19,17.13,42218.06,-0.46,-2.61,17.686,17.557,17.476,62094.61,58260.2,62302.05,4.69
2016-08-19,17.73,17.8,17.65,17.56,40990.7,-0.09,-0.51,17.77,17.562,17.524,69072.39,57627.14,63201.71,4.55
2016-08-18,18.04,18.04,17.75,17.65,65307.04,-0.29,-1.61,17.704,17.518,17.54,69923.15,58201.85,67919.39,7.26
2016-08-17,17.7,18.17,18.04,17.63,91503.52,0.26,1.46,17.604,17.486,17.594,68507.15,57258.72,70880.73,10.17
2016-08-16,17.58,17.86,17.8,17.51,70453.73,0.19,1.08,17.504,17.435,17.663,60565.67,54342.17,72803.44,7.83
2016-08-15,17.32,17.74,17.61,17.15,77106.98,0.29,1.67,17.428,17.385,17.751,54425.8,51271.09,79903.51,8.57
2016-08-12,17.11,17.39,17.32,17.02,45244.5,0.07,0.41,17.354,17.335,17.875,46181.89,50372.19,91283.27,5.03
2016-08-11,17.45,17.79,17.25,17.21,58227.0,-0.29,-1.65,17.332,17.377,17.954,46480.55,57724.99,96801.31,6.47
2016-08-10,17.35,17.66,17.54,17.35,51796.13,0.1,0.57,17.368,17.358,18.035,46010.29,58335.24,102411.22,5.76
2016-08-09,17.2,17.5,17.42,17.12,39754.39,0.19,1.1,17.366,17.305,18.122,48118.67,64217.1,108973.62,4.42
2016-08-08,17.17,17.24,17.24,16.87,35887.42,0.02,0.12,17.342,17.395,18.226,48116.39,66343.9,116562.47,3.99
2016-08-05,17.29,17.49,17.21,17.08,46737.8,-0.23,-1.32,17.316,17.486,18.279,54562.49,68776.28,122596.44,5.19
2016-08-04,17.52,17.64,17.43,17.2,55875.71,-0.09,-0.51,17.422,17.562,18.371,68969.44,77636.92,128121.09,6.21
2016-08-03,17.21,17.7,17.53,17.13,62338.01,0.23,1.33,17.348,17.701,18.478,70660.19,84502.75,139985.58,6.93
2016-08-02,17.1,17.35,17.3,17.05,39743.0,0.2,1.17,17.244,17.89,18.544,80315.54,91264.71,150584.75,4.42
2016-08-01,17.59,17.59,17.11,16.83,68117.94,-0.64,-3.61,17.448,18.116,18.588,84571.41,108535.92,159583.32,7.57
2016-07-29,17.15,17.98,17.74,17.0,118772.52,0.69,4.05,17.656,18.415,18.608,82990.07,132194.35,161546.17,13.2
2016-07-28,17.02,17.18,17.06,16.36,64329.46,0.06,0.35,17.702,18.531,18.584,86304.41,135877.63,160177.77,7.15
2016-07-27,18.35,18.38,17.01,16.84,110614.76,-1.3,-7.1,18.054,18.712,18.59,98345.32,146487.2,163448.33,12.29
2016-07-26,18.08,18.33,18.32,18.02,61022.36,0.18,0.99,18.536,18.938,18.629,102213.89,153730.13,167837.25,6.78
2016-07-25,17.95,18.2,18.15,17.8,60211.26,0.19,1.06,18.784,19.057,18.583,132500.43,166781.05,172044.83,6.69
2016-07-22,18.65,18.78,17.97,17.9,135344.22,-0.84,-4.47,19.174,19.072,18.555,181398.62,176416.61,178150.75,15.04
2016-07-21,19.21,19.49,18.82,18.74,124533.98,-0.6,-3.09,19.36,19.179,18.497,185450.84,178605.26,181009.78,13.84
2016-07-20,19.42,19.85,19.42,19.08,129957.63,-0.15,-0.77,19.37,19.254,18.432,194629.09,195468.4,186058.0,14.44
2016-07-19,19.75,19.87,19.56,18.92,212455.06,-0.53,-2.64,19.34,19.198,18.3,205246.37,209904.79,186408.97,23.61
2016-07-18,18.81,20.75,20.1,18.72,304702.22,1.15,6.07,19.33,19.06,18.163,201061.67,210630.73,185910.8,33.86
2016-07-15,18.7,19.53,18.9,18.63,155605.3,0.05,0.27,18.97,18.8,17.983,171434.59,190897.99,178135.62,17.29
2016-07-14,18.56,19.08,18.87,18.35,170425.25,-0.39,-2.02,18.998,18.636,17.829,171759.68,184477.92,174249.59,18.94
2016-07-13,19.48,19.61,19.27,19.0,183044.03,-0.19,-0.98,19.138,18.467,17.663,196307.71,180409.46,169025.63,20.34
2016-07-12,18.31,19.58,19.51,18.1,191531.55,1.21,6.61,19.056,18.319,17.482,214563.21,181944.37,164470.56,21.28
2016-07-11,18.82,19.19,18.3,18.07,156566.83,-0.76,-3.99,18.79,18.108,17.27,220199.79,177308.61,158286.31,17.4
2016-07-08,19.36,19.5,19.04,19.02,157230.75,-0.54,-2.76,18.63,18.038,17.113,210361.38,179884.9,157108.77,17.47
