,time,price,change,volume,amount,type
0,15:00:00,9.41,--,0,0,卖盘
1,15:00:00,9.41,--,0,0,卖盘
2,14:59:29,9.41,--,3,2823,卖盘
3,14:56:59,9.41,--,13,12233,卖盘
4,14:56:33,9.41,--,5,4705,卖盘
5,14:56:29,9.41,--,10,9410,卖盘
6,14:55:59,9.41,--,10,9410,卖盘
7,14:55:44,9.41,--,15,14115,卖盘
8,14:54:59,9.41,--,5,4705,卖盘
9,14:54:18,9.41,--,5,4705,卖盘
10,14:53:23,9.41,--,10,9410,卖盘
11,14:52:33,9.41,--,10,9410,卖盘
12,14:51:28,9.41,--,5,4705,卖盘
13,14:50:58,9.41,--,10,9410,卖盘
14,14:50:48,9.41,--,5,4705,卖盘
15,14:46:02,9.41,--,5,4705,卖盘
16,14:45:47,9.41,--,10,9410,卖盘
17,14:44:17,9.41,--,10,9410,卖盘
18,14:44:12,9.41,--,10,9410,卖盘
19,14:43:17,9.41,--,2,1882,卖盘
20,14:42:32,9.41,--,10,9410,卖盘
21,14:42:17,9.41,--,7,6587,卖盘
22,14:41:22,9.41,--,5,4705,卖盘
23,14:40:01,9.41,--,1,941,卖盘
24,14:32:55,9.41,--,5,4705,卖盘
25,14:32:49,9.41,--,1,941,卖盘
26,14:32:25,9.41,--,5,4705,卖盘
27,14:31:25,9.41,--,5,4705,卖盘
28,14:28:49,9.41,--,5,4705,卖盘
29,14:24:49,9.41,--,10,9410,卖盘
30,14:16:22,9.41,--,10,9410,卖盘
31,14:14:07,9.41,--,10,9410,卖盘
32,14:13:22,9.41,--,10,9410,卖盘
33,14:08:31,9.41,--,1,941,卖盘
34,14:06:46,9.41,--,10,9410,卖盘
35,13:42:36,9.41,--,5,4705,卖盘
36,13:32:45,9.41,--,5,4705,卖盘
37,13:27:15,9.41,--,10,9410,卖盘
38,13:16:09,9.41,--,2,1882,卖盘
39,13:02:36,9.41,--,1,941,卖盘
40,13:02:06,9.41,--,10,9410,卖盘
41,13:01:21,9.41,--,5,4705,卖盘
42,13:00:06,9.41,--,13,12233,卖盘
43,11:30:00,9.41,--,0,0,卖盘
44,11:29:59,9.41,--,0,0,卖盘
45,11:17:25,9.41,--,10,9410,卖盘
46,11:17:19,9.41,--,10,9410,卖盘
47,11:15:55,9.41,--,10,9410,卖盘
48,11:15:15,9.41,--,10,9410,卖盘
49,10:21:11,9.41,--,3,2823,卖盘
50,10:13:35,9.41,--,5,4705,卖盘
51,10:13:30,9.41,--,1,941,卖盘
52,10:09:39,9.41,--,3,2823,卖盘
53,10:06:44,9.41,--,2,1882,卖盘
54,10:04:44,9.41,--,10,9410,卖盘
55,10:02:18,9.41,--,4,3764,卖盘
56,09:58:02,9.41,--,2,1882,卖盘
57,09:57:17,9.41,--,10,9410,卖盘
58,09:53:27,9.41,--,4,3764,卖盘
59,09:52:42,9.41,--,3,2823,卖盘
60,09:51:36,9.41,--,10,9410,卖盘
61,09:51:32,9.41,--,10,9410,卖盘
62,09:50:41,9.41,--,10,9410,卖盘
63,09:47:21,9.41,--,10,9410,卖盘
64,09:46:51,9.41,--,10,9410,卖盘
65,09:43:50,9.41,--,10,9410,卖盘
66,09:43:05,9.41,--,10,9410,卖盘
67,09:42:35,9.41,--,2,1882,卖盘
68,09:41:55,9.41,--,10,9410,卖盘
69,09:41:40,9.41,--,5,4705,卖盘
70,09:40:05,9.41,--,1,941,卖盘
71,09:38:39,9.41,--,10,9410,卖盘
72,09:36:59,9.41,--,4,3764,卖盘
73,09:36:44,9.41,--,10,9410,卖盘
74,09:34:29,9.41,--,10,9410,卖盘
75,09:33:59,9.41,--,10,9410,卖盘
76,09:32:49,9.41,--,1,941,卖盘
77,09:32:38,9.41,--,5,4705,卖盘
78,09:32:18,9.41,--,10,9410,卖盘
79,09:32:08,9.41,--,10,9410,卖盘
80,09:31:48,9.41,--,10,9410,卖盘
81,09:31:38,9.41,--,8,7528,卖盘
82,09:31:29,9.41,--,10,9410,卖盘
83,09:31:23,9.41,--,15,14115,卖盘
84,09:31:14,9.41,--,10,9410,卖盘
85,09:31:03,9.41,--,10,9410,卖盘
86,09:30:38,9.41,--,1,941,卖盘
87,09:30:29,9.41,--,3,2823,卖盘
88,09:30:18,9.41,--,10,9410,卖盘
89,09:30:08,9.41,--,40,37640,卖盘
90,09:28:49,9.41,--,0,0,卖盘
91,09:25:07,9.41,9.41,131,123271,卖盘
