,time,price,change,volume,amount,type
116,09:32:27,10.35,--,4,4140,卖盘
117,09:31:48,10.35,--,10,10350,卖盘
118,09:31:18,10.35,--,3,3105,卖盘
119,09:31:12,10.35,--,5,5175,卖盘
120,09:31:03,10.35,--,10,10350,卖盘
121,09:30:54,10.35,--,10,10350,卖盘
122,09:30:48,10.35,--,18,18630,卖盘
123,09:30:42,10.35,--,10,10350,卖盘
124,09:30:39,10.35,--,10,10350,卖盘
125,09:30:18,10.35,--,20,20700,卖盘
126,09:30:09,10.35,--,72,74520,卖盘
127,09:30:03,10.35,--,11,11385,卖盘
128,09:28:46,10.35,--,0,0,卖盘
129,09:25:06,10.35,10.35,348,360180,卖盘
