index,open_interest,total_turnover,open,limit_up,volume,high,trading_date,limit_down,close,basis_spread,low
2010-01-04 09:15:00,1413776.0,10976881320.0,4452.413,4701.124,242094.0,4490.075,2010-01-04,4167.119,4486.278,,4452.413
2010-01-04 09:30:00,1412952.0,6114840420.0,4486.463,4701.547,134534.0,4493.034,2010-01-04,4168.409,4486.088,,4480.671
2010-01-04 09:45:00,1421626.0,3240083900.0,4485.818,4702.488,71452.0,4489.522,2010-01-04,4168.791,4488.176,,4481.592
2010-01-04 10:00:00,1434808.0,3838243720.0,4488.981,4703.747,84494.0,4495.918,2010-01-04,4169.616,4490.295,,4484.561
2010-01-04 10:15:00,1456628.0,8255849640.0,4490.102,4704.992,180932.0,4510.942,2010-01-04,4170.683,4508.409,,4488.523
2010-01-04 10:45:00,1457698.0,6545114700.0,4508.988,4705.908,143814.0,4513.559,2010-01-04,4171.939,4505.838,,4502.654
2010-01-04 11:00:00,1459632.0,2724068100.0,4505.812,4706.011,59740.0,4508.315,2010-01-04,4172.492,4503.003,,4502.242
2010-01-04 11:15:00,1470096.0,4928087080.0,4503.279,4707.123,108028.0,4512.778,2010-01-04,4172.634,4510.498,,4496.625
2010-01-04 11:30:00,1465922.0,4398552480.0,4510.475,4707.398,96266.0,4516.897,2010-01-04,4173.604,4509.158,,4508.118
2010-01-04 13:45:00,1489386.0,6528421680.0,4508.309,4708.405,142618.0,4527.922,2010-01-04,4173.711,4527.782,,4505.021
2010-01-04 14:00:00,1497734.0,5511340980.0,4527.991,4708.916,120092.0,4532.205,2010-01-04,4174.864,4529.948,,4524.241
2010-01-04 14:15:00,1505350.0,4015447740.0,4529.931,4709.611,87686.0,4540.325,2010-01-04,4175.273,4539.257,,4529.192
2010-01-04 14:30:00,1507302.0,3709008820.0,4539.257,4709.84,80810.0,4540.004,2010-01-04,4175.867,4532.46,,4528.501
2010-01-04 14:45:00,1499472.0,5586287580.0,4532.752,4710.055,121566.0,4536.785,2010-01-04,4175.963,4524.485,,4524.423
2010-01-04 15:00:00,1440366.0,11274696880.0,4524.009,4709.655,246370.0,4526.362,2010-01-04,4173.923,4510.11,,4507.317
2010-01-05 09:15:00,1450788.0,10057868940.0,4519.087,4733.165,219240.0,4532.226,2010-01-05,4282.185,4520.011,,4513.139
2010-01-05 09:30:00,1458824.0,7193910820.0,4519.348,4733.426,157308.0,4520.084,2010-01-05,4282.667,4516.91,,4505.575
